date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:11:22	36361/36361	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Jun%202020%2012:48:49%20GMT	https://demos.creative-tim.com/paper-kit-2-pro/examples/blog-post.html	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/demos.creative-tim.com/paper-kit-2-pro/examples/blog-post.html	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
20:11:23	29326/29326	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Jun%202020%2012:48:49%20GMT	https://demos.creative-tim.com/paper-kit-2-pro/examples/blog-posts.html	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/demos.creative-tim.com/paper-kit-2-pro/examples/blog-posts.html	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
20:11:23	27192/27192	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Jun%202020%2012:48:49%20GMT	https://demos.creative-tim.com/paper-kit-2-pro/examples/contact-us.html	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/demos.creative-tim.com/paper-kit-2-pro/examples/contact-us.html	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
20:11:24	34480/34480	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Jun%202020%2012:48:49%20GMT	https://demos.creative-tim.com/paper-kit-2-pro/examples/discover.html	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/demos.creative-tim.com/paper-kit-2-pro/examples/discover.html	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
20:11:24	53495/53495	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Jun%202020%2012:48:49%20GMT	https://demos.creative-tim.com/paper-kit-2-pro/examples/ecommerce.html	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/demos.creative-tim.com/paper-kit-2-pro/examples/ecommerce.html	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
20:11:24	33618/33618	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Jun%202020%2012:48:49%20GMT	https://demos.creative-tim.com/paper-kit-2-pro/examples/landing-page.html	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/demos.creative-tim.com/paper-kit-2-pro/examples/landing-page.html	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
20:11:25	24712/24712	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Jun%202020%2012:48:49%20GMT	https://demos.creative-tim.com/paper-kit-2-pro/examples/login-page.html	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/demos.creative-tim.com/paper-kit-2-pro/examples/login-page.html	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
20:11:25	38427/38427	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Jun%202020%2012:48:49%20GMT	https://demos.creative-tim.com/paper-kit-2-pro/examples/product-page.html	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/demos.creative-tim.com/paper-kit-2-pro/examples/product-page.html	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
20:11:26	28585/28585	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Jun%202020%2012:48:49%20GMT	https://demos.creative-tim.com/paper-kit-2-pro/examples/profile-page.html	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/demos.creative-tim.com/paper-kit-2-pro/examples/profile-page.html	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
20:11:26	29464/29464	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Jun%202020%2012:48:49%20GMT	https://demos.creative-tim.com/paper-kit-2-pro/examples/register-page.html	C:/Users/FARHAN%20SADIQ%20MAHI/Desktop/er/Go/demos.creative-tim.com/paper-kit-2-pro/examples/register-page.html	(from https://demos.creative-tim.com/paper-kit-2-pro/presentation.html)
